AÑO,CCAA,KG RECOGIDOS,HABITANTES,CONTENEDOR
2005,BALEARES,30504173,955045,Azul
2005,CASTILLA Y LEON,36699403,1889520,Azul
2005,CASTILLA-LA MANCHA,20081370,1738907,Azul
2005,CANTABRIA,9460717,522360,Azul
2005,CATALUÑA,171654272,6850434,Azul
2005,COMUNIDAD VALENCIANA,55518089,4361268,Azul
2005,EXTREMADURA,3741280,664357,Azul
2005,GALICIA,32114033,2691567,Azul
2005,CANARIAS,17276591,1766324,Azul
2005,LA RIOJA,6383902,292649,Azul
2005,MADRID,118815598,5804427,Azul
2005,REGION DE MURCIA,14340915,1238483,Azul
2005,NAVARRA,17937557,562302,Azul
2005,PAIS VASCO,67581695,2044227,Azul
2006,CEUTA,1713012,75276,Azul
2006,MELILLA,506552,65488,Azul
2006,ANDALUCIA,95909473,7607920,Azul
2006,ARAGON,24448607,1189422,Azul
2006,ASTURIAS,24179127,1076635,Azul
2006,BALEARES,34470495,1005401,Azul
2006,CASTILLA Y LEON,41896887,2019418,Azul
2006,CASTILLA-LA MANCHA,23112600,1817371,Azul
2006,CANTABRIA,11629798,530890,Azul
2006,CATALUÑA,192569829,6994231,Azul
2006,COMUNIDAD VALENCIANA,64767193,4554394,Azul
2006,EXTREMADURA,4897641,763650,Azul
2006,GALICIA,36015506,2733702,Azul
2006,CANARIAS,18988708,1832903,Azul
2006,LA RIOJA,7314460,300278,Azul
2006,MADRID,130178777,5964143,Azul
2006,REGION DE MURCIA,15963193,1285747,Azul
2006,NAVARRA,25546585,575754,Azul
2006,PAIS VASCO,71579343,2065360,Azul
2007,CEUTA,3283980,75861,Azul
2007,MELILLA,1962386,66871,Azul
2007,ANDALUCIA,108032136,7754426,Azul
2007,ARAGON,28690100,1223665,Azul
2007,ASTURIAS,25551862,1076896,Azul
2007,BALEARES,39900848,1001062,Azul
2007,CASTILLA Y LEON,50703541,2195416,Azul
2007,CASTILLA-LA MANCHA,28046134,1856665,Azul
2007,CANTABRIA,12704043,557332,Azul
2007,CATALUÑA,214719347,7128334,Azul
2007,COMUNIDAD VALENCIANA,72806579,4701153,Azul
2007,EXTREMADURA,7200016,842056,Azul
2007,GALICIA,38176950,2741032,Azul
2007,CANARIAS,22653907,1869263,Azul
2007,LA RIOJA,8459150,305521,Azul
2007,MADRID,139061399,6008183,Azul
2007,REGION DE MURCIA,17958943,1342166,Azul
