AÑO,CCAA,KG RECOGIDOS,HABITANTES,CONTENEDOR
2016,COMUNIDAD VALENCIANA,5826,675,Azul
2016,EXTREMADURA,103700,8600,Azul
2016,COMUNIDAD VALENCIANA,7017,914,Azul
2016,COMUNIDAD VALENCIANA,6425,1534,Azul
2016,GALICIA,278080,28242,Azul
2016,ARAGON,109060,12117,Azul
2016,COMUNIDAD VALENCIANA,21499,2939,Azul
2016,ARAGON,777710,70672,Azul
2016,CANTABRIA,232340,9605,Azul
2016,CASTILLA Y LEON,568739,27481,Azul
2016,CASTILLA Y LEON,1362999,90838,Azul
2016,CASTILLA Y LEON,18029,1246,Azul
2016,COMUNIDAD VALENCIANA,74390,7444,Azul
2016,COMUNIDAD VALENCIANA,9813,1995,Azul
2016,MADRID,121600,10398,Azul
2016,CATALUÑA,160569,6049,Azul
2016,GALICIA,6200,1912,Azul
2016,GALICIA,16580,4800,Azul
2016,ARAGON,44440,2793,Azul
2016,COMUNIDAD VALENCIANA,2432,217,Azul
2016,CATALUÑA,474080,12681,Azul
2016,MADRID,210940,16797,Azul
2016,CASTILLA Y LEON,13180,1457,Azul
2016,CASTILLA-LA MANCHA,66499,5373,Azul
2016,EXTREMADURA,10500,646,Azul
2016,EXTREMADURA,111709,11798,Azul
2016,MADRID,114940,8934,Azul
2016,EXTREMADURA,187962,16601,Azul
2016,COMUNIDAD VALENCIANA,78800,6773,Azul
2016,CATALUÑA,221960,10589,Azul
2016,COMUNIDAD VALENCIANA,3364,588,Azul
2016,MADRID,36624,3548,Azul
2016,CASTILLA-LA MANCHA,36819,3977,Azul
2016,CASTILLA-LA MANCHA,85780,9130,Azul
2016,CASTILLA-LA MANCHA,8960,802,Azul
2016,CASTILLA Y LEON,16770,1947,Azul
2016,MADRID,31040,3196,Azul
2016,CASTILLA Y LEON,190359,9577,Azul
2016,CASTILLA Y LEON,39640,2410,Azul
2016,CASTILLA-LA MANCHA,5250,1441,Azul
2016,EXTREMADURA,102139,8415,Azul
2016,MADRID,205177,12173,Azul
2016,COMUNIDAD VALENCIANA,55424,4921,Azul
2016,CASTILLA Y LEON,9600,2973,Azul
2016,CASTILLA-LA MANCHA,33760,2602,Azul
2016,CASTILLA-LA MANCHA,225466,20356,Azul
2016,COMUNIDAD VALENCIANA,7456,610,Azul
2016,COMUNIDAD VALENCIANA,7860,901,Azul
2016,COMUNIDAD VALENCIANA,3907,746,Azul
2016,MADRID,324020,19250,Azul
2016,CASTILLA Y LEON,86350,12887,Azul
2016,ANDALUCIA,240312,28056,Azul
2016,MADRID,66020,4343,Azul
2016,CASTILLA-LA MANCHA,714550,50035,Azul
2016,CATALUÑA,462560,14900,Azul
2016,CATALUÑA,151640,7253,Azul
2016,CATALUÑA,900324,28269,Azul
2016,GALICIA,35660,11355,Azul
2016,GALICIA,27680,8748,Azul
2016,MADRID,1687068,113054,Azul
2016,GALICIA,24080,5919,Azul
2016,CASTILLA-LA MANCHA,8200,828,Azul
2016,COMUNIDAD VALENCIANA,68331,3419,Azul
2016,COMUNIDAD VALENCIANA,32497,4140,Azul
2016,MADRID,217140,20148,Azul
2016,CASTILLA-LA MANCHA,20410,3468,Azul
2016,COMUNIDAD VALENCIANA,19798,2725,Azul
2016,MADRID,97800,6983,Azul
2016,COMUNIDAD VALENCIANA,18071,997,Azul
2016,EXTREMADURA,3154,934,Azul
2016,PAIS VASCO,380000,6183,Azul
2016,MADRID,151500,3942,Azul
2016,CASTILLA Y LEON,32700,6387,Azul
2016,COMUNIDAD VALENCIANA,19524,1926,Azul
2016,MADRID,107443,6440,Azul
2016,COMUNIDAD VALENCIANA,2432,1119,Azul
2016,COMUNIDAD VALENCIANA,1027,550,Azul
2016,CATALUÑA,96320,5513,Azul
2016,COMUNIDAD VALENCIANA,3604,1014,Azul
2016,COMUNIDAD VALENCIANA,101232,9568,Azul
2016,MADRID,275680,22293,Azul
2016,CATALUÑA,35440,1063,Azul
2016,COMUNIDAD VALENCIANA,5384,1334,Azul
2016,CASTILLA Y LEON,43220,3745,Azul
2016,CASTILLA-LA MANCHA,21240,3394,Azul
2016,CASTILLA-LA MANCHA,6711,1148,Azul
2016,MADRID,59220,707,Azul
2016,EXTREMADURA,31980,4671,Azul
2016,GALICIA,7180,1380,Azul
2016,GALICIA,9440,1934,Azul
2016,MADRID,28200,1451,Azul
2016,CATALUÑA,175850,5012,Azul
2016,CATALUÑA,79300,2521,Azul
2016,CATALUÑA,363346,18371,Azul
2016,MADRID,39510,3692,Azul
2016,CASTILLA-LA MANCHA,15600,3044,Azul
2016,COMUNIDAD VALENCIANA,62990,5398,Azul
2016,ANDALUCIA,169572,21522,Azul
2016,CATALUÑA,1531525,45346,Azul
2016,CATALUÑA,384769,10869,Azul
2016,CATALUÑA,769502,3220,Azul
2016,CATALUÑA,118014,4985,Azul
2016,CATALUÑA,119668,5543,Azul
2016,COMUNIDAD VALENCIANA,6445,1020,Azul
2016,COMUNIDAD VALENCIANA,28408,2447,Azul
2016,ANDALUCIA,129820,30358,Azul
2016,COMUNIDAD VALENCIANA,5173,714,Azul
2016,MADRID,83750,6039,Azul
2016,CANTABRIA,61470,3780,Azul
2016,CASTILLA-LA MANCHA,15549,954,Azul
2016,CASTILLA-LA MANCHA,21277,3273,Azul
2016,CATALUÑA,156268,10392,Azul
2016,ANDALUCIA,73010,21383,Azul
2016,CATALUÑA,199000,14240,Azul
2016,MADRID,202010,8036,Azul
2016,EXTREMADURA,2763753,262572,Azul
2016,CASTILLA Y LEON,68484,5403,Azul
2016,ANDALUCIA,114010,27675,Azul
2016,PAIS VASCO,642280,19600,Azul
2016,PAIS VASCO,389700,10148,Azul
2016,COMUNIDAD VALENCIANA,10153,2049,Azul
2016,CATALUÑA,282926,15371,Azul
2016,MADRID,150480,12982,Azul
2016,NAVARRA,22100,869,Azul
2016,CATALUÑA,14166,943,Azul
2016,CATALUÑA,31300,2273,Azul
2016,CANARIAS,160571,4222,Azul
2016,CANARIAS,68780,12498,Azul
2016,CANARIAS,97960,13890,Azul
2016,CANARIAS,48960,7969,Azul
2016,COMUNIDAD VALENCIANA,99000,10591,Azul
2016,COMUNIDAD VALENCIANA,112850,12867,Azul
2016,COMUNIDAD VALENCIANA,1645981,203214,Azul
2016,CATALUÑA,83940,3474,Azul
2016,CANTABRIA,425512,18297,Azul
2016,COMUNIDAD VALENCIANA,1671,370,Azul
2016,EXTREMADURA,6890,1720,Azul
2016,CASTILLA-LA MANCHA,8115,468,Azul
2016,COMUNIDAD VALENCIANA,2969,653,Azul
2016,COMUNIDAD VALENCIANA,27940,690,Azul
2016,GALICIA,21320,2734,Azul
2016,COMUNIDAD VALENCIANA,960,101,Azul
2016,MADRID,81240,5436,Azul
2016,EXTREMADURA,26400,2620,Azul
2016,ANDALUCIA,167060,14324,Azul
2016,COMUNIDAD VALENCIANA,31400,632,Azul
2016,CASTILLA Y LEON,21074,5441,Azul
2016,CATALUÑA,125650,12452,Azul
2016,EXTREMADURA,15034,2205,Azul
2016,CASTILLA-LA MANCHA,17120,3619,Azul
2016,MADRID,54330,3405,Azul
2016,BALEARES,1217113,37221,Azul
2016,CATALUÑA,167860,8851,Azul
2016,CATALUÑA,108200,5477,Azul
2016,CATALUÑA,25820,1682,Azul
2016,BALEARES,157902,6706,Azul
2016,BALEARES,47963,2018,Azul
2016,MADRID,36596,3994,Azul
2016,GALICIA,44000,6884,Azul
2016,CATALUÑA,125714,2839,Azul
2016,GALICIA,7800,3982,Azul
2016,CASTILLA Y LEON,86590,5254,Azul
2016,ARAGON,232120,22033,Azul
2016,ARAGON,23812,2348,Azul
2016,MADRID,72288,7901,Azul
2016,BALEARES,126279,9892,Azul
2016,BALEARES,136384,4922,Azul
2016,COMUNIDAD VALENCIANA,48208,2403,Azul
2016,BALEARES,1148686,38068,Azul
2016,BALEARES,992343,8146,Azul
2016,BALEARES,191444,11419,Azul
2016,BALEARES,370920,11093,Azul
2016,BALEARES,789437,16115,Azul
2016,BALEARES,553231,13648,Azul
2016,BALEARES,352840,7381,Azul
2016,COMUNIDAD VALENCIANA,195500,8759,Azul
2016,BALEARES,226720,11448,Azul
2016,NAVARRA,225675,5458,Azul
2016,PAIS VASCO,203394,4586,Azul
2016,ANDALUCIA,77080,12766,Azul
2016,CATALUÑA,42711,977,Azul
2016,GALICIA,5840,2037,Azul
2016,GALICIA,27600,3160,Azul
2016,EXTREMADURA,59129,4686,Azul
2016,ANDALUCIA,441840,27449,Azul
2016,ANDALUCIA,363850,52558,Azul
2016,ANDALUCIA,50722,8694,Azul
2016,ANDALUCIA,159260,38157,Azul
2016,ANDALUCIA,75204,16514,Azul
2016,ANDALUCIA,236160,19164,Azul
2016,CATALUÑA,397440,27944,Azul
2016,ANDALUCIA,20040,1359,Azul
2016,COMUNIDAD VALENCIANA,157140,3036,Azul
2016,CATALUÑA,87380,5155,Azul
2016,ANDALUCIA,576836,67433,Azul
2016,ANDALUCIA,16700,3467,Azul
2016,ANDALUCIA,337530,29123,Azul
2016,ANDALUCIA,94340,7072,Azul
2016,ANDALUCIA,46738,4946,Azul
2016,ANDALUCIA,194830,19062,Azul
2016,ANDALUCIA,36459,7088,Azul
2016,COMUNIDAD VALENCIANA,16280,850,Azul
2016,PAIS VASCO,187180,5214,Azul
2016,COMUNIDAD VALENCIANA,7725,1018,Azul
2016,PAIS VASCO,3031,310,Azul
2016,ANDALUCIA,23820,8832,Azul
2016,ANDALUCIA,280200,23519,Azul
2016,PAIS VASCO,173660,5990,Azul
2016,COMUNIDAD VALENCIANA,2159,988,Azul
2016,ANDALUCIA,41000,12508,Azul
2016,ANDALUCIA,15500,3046,Azul
2016,CATALUÑA,54668,2717,Azul
2016,CATALUÑA,17620,802,Azul
2016,CATALUÑA,133021,9570,Azul
2016,ANDALUCIA,197350,24278,Azul
2016,PAIS VASCO,117062,6950,Azul
2016,CASTILLA-LA MANCHA,20030,4648,Azul
2016,MADRID,1148060,35561,Azul
2016,CASTILLA-LA MANCHA,360,28,Azul
2016,COMUNIDAD VALENCIANA,3940,668,Azul
2016,CATALUÑA,142475,5665,Azul
2016,CATALUÑA,99480,4005,Azul
2016,BALEARES,1104700,40170,Azul
2016,CATALUÑA,10990,387,Azul
2016,CATALUÑA,46890,3623,Azul
2016,CASTILLA-LA MANCHA,13930,1605,Azul
2016,COMUNIDAD VALENCIANA,19599,2431,Azul
2016,CATALUÑA,71830,2106,Azul
2016,ANDALUCIA,78228,12812,Azul
2016,ANDALUCIA,54160,11749,Azul
2016,ANDALUCIA,25795,4427,Azul
2016,ANDALUCIA,20260,4438,Azul
2016,ANDALUCIA,19273,5585,Azul
2016,CATALUÑA,259180,9660,Azul
2016,CATALUÑA,311110,15289,Azul
2016,CATALUÑA,64440,2897,Azul
2016,CASTILLA-LA MANCHA,47980,2579,Azul
2016,CATALUÑA,63600,2966,Azul
2016,GALICIA,14558,5253,Azul
2016,EXTREMADURA,14420,1957,Azul
2016,CATALUÑA,529139,11387,Azul
2016,CASTILLA Y LEON,48952,9509,Azul
2016,CATALUÑA,84030,6297,Azul
2016,CASTILLA Y LEON,5505,1090,Azul
2016,CASTILLA Y LEON,2450,426,Azul
2016,COMUNIDAD VALENCIANA,57633,5413,Azul
2016,COMUNIDAD VALENCIANA,29160,7246,Azul
2016,COMUNIDAD VALENCIANA,12660,4167,Azul
2016,COMUNIDAD VALENCIANA,8065,1307,Azul
2016,COMUNIDAD VALENCIANA,17400,3420,Azul
2016,PAIS VASCO,96995,2611,Azul
2016,CASTILLA Y LEON,4283,828,Azul
2016,CATALUÑA,52260,2557,Azul
2016,CASTILLA Y LEON,26140,2074,Azul
2016,CATALUÑA,38950,2405,Azul
2016,CATALUÑA,85958,3616,Azul
2016,CATALUÑA,29118,1225,Azul
2016,COMUNIDAD VALENCIANA,3900,489,Azul
2016,CATALUÑA,295654,17192,Azul
2016,COMUNIDAD VALENCIANA,84592,12084,Azul
2016,COMUNIDAD VALENCIANA,3559,519,Azul
2016,BALEARES,377560,17879,Azul
2016,BALEARES,11266,415,Azul
2016,BALEARES,11680,409,Azul
2016,BALEARES,8221,319,Azul
2016,BALEARES,241271,20840,Azul
2016,BALEARES,190300,3921,Azul
2016,CASTILLA-LA MANCHA,15060,1480,Azul
2016,BALEARES,136818,10157,Azul
2016,BALEARES,48860,1169,Azul
2016,CATALUÑA,86100,4158,Azul
2016,BALEARES,310632,6808,Azul
2016,BALEARES,179678,6600,Azul
2016,BALEARES,7980,137,Azul
2016,CATALUÑA,194040,17652,Azul
2016,BALEARES,184848,2927,Azul
2016,MADRID,396200,26545,Azul
2016,BALEARES,359240,11528,Azul
2016,BALEARES,113220,7404,Azul
2016,COMUNIDAD VALENCIANA,17000,2453,Azul
2016,CATALUÑA,2390570,111178,Azul
2016,BALEARES,275268,20193,Azul
2016,BALEARES,5037,196,Azul
2016,EXTREMADURA,7500,1351,Azul
2016,EXTREMADURA,1600,421,Azul
2016,EXTREMADURA,1500,365,Azul
2016,EXTREMADURA,3540,255,Azul
2016,CASTILLA Y LEON,3750,467,Azul
2016,COMUNIDAD VALENCIANA,41910,6256,Azul
2016,COMUNIDAD VALENCIANA,74069,13442,Azul
2016,COMUNIDAD VALENCIANA,23182,3253,Azul
2016,COMUNIDAD VALENCIANA,99734,9073,Azul
2016,COMUNIDAD VALENCIANA,41660,7155,Azul
2016,CASTILLA Y LEON,3610160,129816,Azul
2016,COMUNIDAD VALENCIANA,24203,7229,Azul
2016,COMUNIDAD VALENCIANA,75499,11780,Azul
2016,COMUNIDAD VALENCIANA,192453,20406,Azul
2016,COMUNIDAD VALENCIANA,176548,34586,Azul
2016,CASTILLA Y LEON,516630,43569,Azul
2016,CASTILLA Y LEON,4038790,177100,Azul
2016,CASTILLA Y LEON,3483540,146438,Azul
2016,COMUNIDAD VALENCIANA,104520,11270,Azul
2016,CASTILLA Y LEON,2198679,171979,Azul
2016,CASTILLA Y LEON,1309465,66884,Azul
2016,CASTILLA Y LEON,904380,63831,Azul
2016,CASTILLA Y LEON,3066249,199782,Azul
2016,CASTILLA Y LEON,695440,36173,Azul
2016,CASTILLA Y LEON,686290,32880,Azul
2016,CASTILLA Y LEON,6550000,303905,Azul
2016,COMUNIDAD VALENCIANA,207682,29838,Azul
2016,CASTILLA Y LEON,1572727,79595,Azul
2016,CASTILLA Y LEON,164445,15809,Azul
2016,CASTILLA Y LEON,2500180,96379,Azul
2016,CASTILLA Y LEON,888940,119605,Azul
2016,CASTILLA-LA MANCHA,3274324,338071,Azul
2016,CASTILLA-LA MANCHA,1632580,173044,Azul
2016,CASTILLA-LA MANCHA,915480,83226,Azul
2016,COMUNIDAD VALENCIANA,183180,21842,Azul
2016,COMUNIDAD VALENCIANA,10944,937,Azul
2016,CASTILLA-LA MANCHA,3366770,473323,Azul
2016,COMUNIDAD VALENCIANA,51440,4369,Azul
2016,COMUNIDAD VALENCIANA,2105,1279,Azul
2016,COMUNIDAD VALENCIANA,224208,53248,Azul
2016,COMUNIDAD VALENCIANA,8230,1413,Azul
2016,COMUNIDAD VALENCIANA,8680,1160,Azul
2016,COMUNIDAD VALENCIANA,27463,2295,Azul
2016,ANDALUCIA,4812080,235800,Azul
2016,COMUNIDAD VALENCIANA,168560,28465,Azul
2016,CASTILLA-LA MANCHA,722401,85150,Azul
2016,CASTILLA-LA MANCHA,3716429,394580,Azul
2016,COMUNIDAD VALENCIANA,28715,2422,Azul
2016,COMUNIDAD VALENCIANA,101560,9994,Azul
2016,COMUNIDAD VALENCIANA,193976,19746,Azul
2016,COMUNIDAD VALENCIANA,40400,3657,Azul
2016,COMUNIDAD VALENCIANA,242140,31120,Azul
2016,COMUNIDAD VALENCIANA,74833,19955,Azul
2016,COMUNIDAD VALENCIANA,22270,2752,Azul
2016,COMUNIDAD VALENCIANA,17880,1859,Azul
2016,COMUNIDAD VALENCIANA,139720,9167,Azul
2016,COMUNIDAD VALENCIANA,204996,24256,Azul
2016,COMUNIDAD VALENCIANA,47088,9696,Azul
2016,CASTILLA-LA MANCHA,686680,80174,Azul
2016,COMUNIDAD VALENCIANA,33090,6031,Azul
2016,COMUNIDAD VALENCIANA,292998,21540,Azul
2016,COMUNIDAD VALENCIANA,998630,27681,Azul
2016,COMUNIDAD VALENCIANA,62602,12381,Azul
2016,COMUNIDAD VALENCIANA,172260,24963,Azul
2016,COMUNIDAD VALENCIANA,123866,21629,Azul
2016,COMUNIDAD VALENCIANA,447660,50580,Azul
2016,CASTILLA-LA MANCHA,1190646,83391,Azul
2016,COMUNIDAD VALENCIANA,12582,1656,Azul
2016,COMUNIDAD VALENCIANA,93590,7337,Azul
2016,COMUNIDAD VALENCIANA,273351,24864,Azul
2016,COMUNIDAD VALENCIANA,30640,4707,Azul
2016,COMUNIDAD VALENCIANA,97510,9021,Azul
2016,COMUNIDAD VALENCIANA,547660,26403,Azul
2016,COMUNIDAD VALENCIANA,189340,3362,Azul
2016,COMUNIDAD VALENCIANA,6745,490,Azul
2016,COMUNIDAD VALENCIANA,7550,516,Azul
2016,COMUNIDAD VALENCIANA,533536,29271,Azul
2016,COMUNIDAD VALENCIANA,307390,56302,Azul
2016,ANDALUCIA,4492340,327362,Azul
2016,COMUNIDAD VALENCIANA,165900,2740,Azul
2016,ANDALUCIA,1246690,88335,Azul
2016,ANDALUCIA,349871,50692,Azul
2016,ANDALUCIA,1191350,254227,Azul
2016,MADRID,23850,2525,Azul
2016,MADRID,134920,8902,Azul
2016,MADRID,12692,1292,Azul
2016,MADRID,13654,1441,Azul
2016,COMUNIDAD VALENCIANA,270678,27688,Azul
2016,COMUNIDAD VALENCIANA,75960,9244,Azul
2016,ANDALUCIA,754760,57871,Azul
2016,COMUNIDAD VALENCIANA,76520,7269,Azul
2016,COMUNIDAD VALENCIANA,31261,2507,Azul
2016,COMUNIDAD VALENCIANA,1672970,227312,Azul
2016,COMUNIDAD VALENCIANA,214897,28963,Azul
2016,LA RIOJA,3321504,165709,Azul
2016,COMUNIDAD VALENCIANA,2125700,328648,Azul
2016,COMUNIDAD VALENCIANA,90540,1592,Azul
2016,COMUNIDAD VALENCIANA,238690,11598,Azul
2016,COMUNIDAD VALENCIANA,137259,24810,Azul
2016,COMUNIDAD VALENCIANA,644500,80107,Azul
2016,COMUNIDAD VALENCIANA,902310,84599,Azul
2016,COMUNIDAD VALENCIANA,373447,54705,Azul
2016,COMUNIDAD VALENCIANA,50148,16029,Azul
2016,COMUNIDAD VALENCIANA,18170,2583,Azul
2016,ANDALUCIA,1653888,212876,Azul
2016,COMUNIDAD VALENCIANA,237760,23321,Azul
2016,ANDALUCIA,1320715,261703,Azul
2016,ANDALUCIA,7807955,538775,Azul
2016,ANDALUCIA,7350600,693878,Azul
2016,ANDALUCIA,1062300,115395,Azul
2016,ANDALUCIA,6732550,463504,Azul
2016,ANDALUCIA,1500970,194202,Azul
2016,ANDALUCIA,1202060,96131,Azul
2016,ANDALUCIA,1814810,146318,Azul
2016,ANDALUCIA,800420,148168,Azul
2016,ANDALUCIA,1049309,145399,Azul
2016,ANDALUCIA,570600,67000,Azul
2016,ANDALUCIA,639668,41509,Azul
2016,ANDALUCIA,6143779,529741,Azul
2016,ANDALUCIA,164290,22808,Azul
2016,ANDALUCIA,702780,107590,Azul
2016,ANDALUCIA,352606,60899,Azul
2016,ANDALUCIA,2178280,120468,Azul
2016,ANDALUCIA,679940,90623,Azul
2016,ANDALUCIA,6334413,569129,Azul
2016,ANDALUCIA,872750,66598,Azul
2016,ANDALUCIA,139720,30167,Azul
2016,COMUNIDAD VALENCIANA,305269,21125,Azul
2016,PAIS VASCO,2320420,62720,Azul
2016,ANDALUCIA,192680,18464,Azul
2016,COMUNIDAD VALENCIANA,26220,458,Azul
2016,COMUNIDAD VALENCIANA,271020,4623,Azul
2016,COMUNIDAD VALENCIANA,9469379,786189,Azul
2016,COMUNIDAD VALENCIANA,160523,30807,Azul
2016,ARAGON,11707183,664953,Azul
2016,ASTURIAS,15898873,829358,Azul
2016,MELILLA,963828,81303,Azul
2016,NAVARRA,15355968,360602,Azul
2016,NAVARRA,1413260,52335,Azul
2016,NAVARRA,1050860,31701,Azul
2016,NAVARRA,939408,26376,Azul
2016,COMUNIDAD VALENCIANA,675020,26190,Azul
2016,NAVARRA,371399,11079,Azul
2016,NAVARRA,880100,20307,Azul
2016,NAVARRA,117339,2519,Azul
2016,CANTABRIA,3266404,251359,Azul
2016,NAVARRA,2686600,87337,Azul
2016,COMUNIDAD VALENCIANA,42840,992,Azul
2016,COMUNIDAD VALENCIANA,54236,7603,Azul
2016,COMUNIDAD VALENCIANA,101400,1285,Azul
2016,COMUNIDAD VALENCIANA,156754,13071,Azul
2016,COMUNIDAD VALENCIANA,517710,67340,Azul
2016,COMUNIDAD VALENCIANA,52120,5182,Azul
2016,COMUNIDAD VALENCIANA,125950,20479,Azul
2016,COMUNIDAD VALENCIANA,493299,43320,Azul
2016,COMUNIDAD VALENCIANA,314120,2620,Azul
2016,GALICIA,70340,5743,Azul
2016,GALICIA,9240,2585,Azul
2016,GALICIA,9939,1846,Azul
2016,GALICIA,74710,6219,Azul
2016,GALICIA,8560,2802,Azul
2016,GALICIA,20275,5153,Azul
2016,GALICIA,289180,31283,Azul
2016,COMUNIDAD VALENCIANA,82520,1754,Azul
2016,GALICIA,6280,1400,Azul
2016,GALICIA,31220,1334,Azul
2016,GALICIA,73905,13895,Azul
2016,GALICIA,91625,9834,Azul
2016,GALICIA,259290,21025,Azul
2016,GALICIA,18220,3077,Azul
2016,GALICIA,12972,1174,Azul
2016,GALICIA,69655,4015,Azul
2016,GALICIA,28400,4827,Azul
2016,GALICIA,9730,3646,Azul
2016,GALICIA,70660,7538,Azul
2016,GALICIA,205680,25084,Azul
2016,GALICIA,960233,98134,Azul
2016,GALICIA,23112,2301,Azul
2016,GALICIA,25021,2764,Azul
2016,GALICIA,265520,20005,Azul
2016,COMUNIDAD VALENCIANA,228980,4352,Azul
2016,GALICIA,51481,3424,Azul
2016,GALICIA,272325,15735,Azul
2016,GALICIA,22202,1280,Azul
2016,GALICIA,55227,10422,Azul
2016,GALICIA,118540,14645,Azul
2016,GALICIA,55222,6059,Azul
2016,COMUNIDAD VALENCIANA,65820,1410,Azul
2016,GALICIA,64560,5556,Azul
2016,GALICIA,2921500,294098,Azul
2016,GALICIA,22436,1820,Azul
2016,GALICIA,69540,6753,Azul
2016,GALICIA,3120,699,Azul
2016,GALICIA,10020,3263,Azul
2016,GALICIA,11876,1178,Azul
2016,GALICIA,7800,3591,Azul
2016,GALICIA,110540,8772,Azul
2016,COMUNIDAD VALENCIANA,32780,527,Azul
2016,GALICIA,75180,13393,Azul
2016,GALICIA,2074380,95612,Azul
2016,GALICIA,44593,9635,Azul
2016,GALICIA,21996,2700,Azul
2016,GALICIA,19402,1364,Azul
2016,GALICIA,295800,27372,Azul
2016,GALICIA,253536,9929,Azul
2016,GALICIA,59010,6189,Azul
2016,GALICIA,206450,11386,Azul
2016,GALICIA,375240,29697,Azul
2016,GALICIA,5597,1549,Azul
2016,GALICIA,15270,3424,Azul
2016,GALICIA,730660,82539,Azul
2016,GALICIA,142700,10503,Azul
2016,GALICIA,29990,2470,Azul
2016,COMUNIDAD VALENCIANA,485820,5881,Azul
2016,GALICIA,134190,16842,Azul
2016,GALICIA,156400,9623,Azul
2016,GALICIA,10772,3274,Azul
2016,GALICIA,80961,8643,Azul
2016,GALICIA,38812,5068,Azul
2016,GALICIA,1192998,106231,Azul
2016,GALICIA,57240,6136,Azul
2016,GALICIA,82980,12776,Azul
2016,GALICIA,41797,5261,Azul
2016,GALICIA,641540,39565,Azul
2016,GALICIA,26407,5025,Azul
2016,GALICIA,77680,5362,Azul
2016,GALICIA,39525,3876,Azul
2016,GALICIA,90480,5859,Azul
2016,GALICIA,10200,1389,Azul
2016,GALICIA,77700,5520,Azul
2016,GALICIA,9088,3942,Azul
2016,GALICIA,5000,1089,Azul
2016,COMUNIDAD VALENCIANA,500520,44554,Azul
2016,GALICIA,32867,4775,Azul
2016,GALICIA,916440,69452,Azul
2016,GALICIA,212040,13385,Azul
2016,GALICIA,25920,1757,Azul
2016,GALICIA,47178,8493,Azul
2016,GALICIA,59494,4336,Azul
2016,GALICIA,17952,5076,Azul
2016,GALICIA,57540,7723,Azul
2016,GALICIA,134320,9580,Azul
2016,GALICIA,391710,18950,Azul
2016,GALICIA,10240,2125,Azul
2016,GALICIA,35460,3021,Azul
2016,COMUNIDAD VALENCIANA,187030,17734,Azul
2016,GALICIA,9208,1474,Azul
2016,GALICIA,2870,605,Azul
2016,GALICIA,11890,2674,Azul
2016,GALICIA,6350,1486,Azul
2016,GALICIA,23891,2467,Azul
2016,GALICIA,38000,6691,Azul
2016,GALICIA,81309,7413,Azul
2016,COMUNIDAD VALENCIANA,108752,14436,Azul
2016,GALICIA,27410,3008,Azul
2016,GALICIA,249855,17619,Azul
2016,GALICIA,17078,4066,Azul
2016,GALICIA,43080,6936,Azul
2016,GALICIA,6726,684,Azul
2016,GALICIA,115493,15305,Azul
2016,GALICIA,70210,4358,Azul
2016,GALICIA,37940,3778,Azul
2016,COMUNIDAD VALENCIANA,31560,453,Azul
2016,GALICIA,277140,19061,Azul
2016,GALICIA,19170,652,Azul
2016,GALICIA,25480,4665,Azul
2016,GALICIA,14207,1246,Azul
2016,GALICIA,26619,5006,Azul
2016,GALICIA,30008,1749,Azul
2016,GALICIA,192550,5382,Azul
2016,GALICIA,12380,3825,Azul
2016,GALICIA,25684,1454,Azul
2016,GALICIA,12320,2957,Azul
2016,GALICIA,29861,3185,Azul
2016,GALICIA,118830,11402,Azul
2016,GALICIA,3160,2670,Azul
2016,GALICIA,83508,4956,Azul
2016,COMUNIDAD VALENCIANA,1085780,69045,Azul
2016,GALICIA,160500,10193,Azul
2016,GALICIA,289890,10801,Azul
2016,GALICIA,108414,14056,Azul
2016,GALICIA,10040,2460,Azul
2016,GALICIA,166071,9891,Azul
2016,GALICIA,6420,1794,Azul
2016,GALICIA,23552,3683,Azul
2016,GALICIA,4810,1220,Azul
2016,COMUNIDAD VALENCIANA,503935,28190,Azul
2016,GALICIA,15570,2882,Azul
2016,GALICIA,53440,4878,Azul
2016,GALICIA,10500,2252,Azul
2016,GALICIA,8940,2617,Azul
2016,GALICIA,31140,4332,Azul
2016,GALICIA,17902,6551,Azul
2016,GALICIA,19622,1233,Azul
2016,COMUNIDAD VALENCIANA,109640,2302,Azul
2016,GALICIA,30699,1828,Azul
2016,GALICIA,68120,7062,Azul
2016,GALICIA,36530,3368,Azul
2016,GALICIA,9620,2124,Azul
2016,GALICIA,20063,4846,Azul
2016,GALICIA,3850,818,Azul
2016,GALICIA,7160,1498,Azul
2016,GALICIA,19574,1985,Azul
2016,GALICIA,18192,7520,Azul
2016,GALICIA,9500,1233,Azul
2016,GALICIA,1440,894,Azul
2016,GALICIA,584450,37482,Azul
2017,ANDALUCIA,2901220,390323,Azul
2017,COMUNIDAD VALENCIANA,40088,10537,Azul
2017,COMUNIDAD VALENCIANA,310158,35248,Azul
2017,GALICIA,26299,5836,Azul
2017,GALICIA,50500,5012,Azul
2017,GALICIA,109182,6047,Azul
2017,GALICIA,18021,2016,Azul
2017,GALICIA,33620,3974,Azul
2017,GALICIA,139134,16966,Azul
2017,GALICIA,28780,3703,Azul
2017,COMUNIDAD VALENCIANA,148630,21525,Azul
2017,GALICIA,9840,1196,Azul
2017,GALICIA,106339,13548,Azul
2017,GALICIA,255640,18510,Azul
2017,GALICIA,6600,1475,Azul
2017,GALICIA,9058,2928,Azul
2017,GALICIA,63660,7251,Azul
2017,GALICIA,13445,1160,Azul
2017,GALICIA,21190,2375,Azul
2017,COMUNIDAD VALENCIANA,301720,22139,Azul
2017,GALICIA,11970,3926,Azul
